t (s),Intensity
0,1.00E-100
1.51366E-07,1.00E-100
1.51367E-07,0.000883826
1.51392E-07,0.002717065
1.51417E-07,0.007575677
1.51442E-07,0.019157172
1.51467E-07,0.043936934
1.51492E-07,0.091393755
1.51517E-07,0.172421624
1.51542E-07,0.295022656
1.51567E-07,0.457833362
1.51592E-07,0.644388725
1.51617E-07,0.822577562
1.51642E-07,0.9523448
1.51667E-07,1
1.51692E-07,0.9523448
1.51717E-07,0.822577562
1.51742E-07,0.644388725
1.51767E-07,0.457833362
1.51792E-07,0.295022656
1.51817E-07,0.172421624
1.51842E-07,0.091393755
1.51867E-07,0.043936934
1.51892E-07,0.019157172
1.51917E-07,0.007575677
1.51942E-07,0.002717065
1.51967E-07,0.000883826
1.51968E-07,0
1.00E-06,0
