t (s),Intensity
0,1.00E-100
1.46483E-07,1.00E-100
1.46484E-07,0.000883826
1.46509E-07,0.002717065
1.46534E-07,0.007575677
1.46559E-07,0.019157172
1.46584E-07,0.043936934
1.46609E-07,0.091393755
1.46634E-07,0.172421624
1.46659E-07,0.295022656
1.46684E-07,0.457833362
1.46709E-07,0.644388725
1.46734E-07,0.822577562
1.46759E-07,0.9523448
1.46784E-07,1
1.46809E-07,0.9523448
1.46834E-07,0.822577562
1.46859E-07,0.644388725
1.46884E-07,0.457833362
1.46909E-07,0.295022656
1.46934E-07,0.172421624
1.46959E-07,0.091393755
1.46984E-07,0.043936934
1.47009E-07,0.019157172
1.47034E-07,0.007575677
1.47059E-07,0.002717065
1.47084E-07,0.000883826
1.47085E-07,0
1.00E-06,0
