t (s),Intensity
0,1.00E-100
1.41601E-07,1.00E-100
1.41602E-07,0.000883826
1.41627E-07,0.002717065
1.41652E-07,0.007575677
1.41677E-07,0.019157172
1.41702E-07,0.043936934
1.41727E-07,0.091393755
1.41752E-07,0.172421624
1.41777E-07,0.295022656
1.41802E-07,0.457833362
1.41827E-07,0.644388725
1.41852E-07,0.822577562
1.41877E-07,0.9523448
1.41902E-07,1
1.41927E-07,0.9523448
1.41952E-07,0.822577562
1.41977E-07,0.644388725
1.42002E-07,0.457833362
1.42027E-07,0.295022656
1.42052E-07,0.172421624
1.42077E-07,0.091393755
1.42102E-07,0.043936934
1.42127E-07,0.019157172
1.42152E-07,0.007575677
1.42177E-07,0.002717065
1.42202E-07,0.000883826
1.42203E-07,0
1.00E-06,0
